strategy,state_variable,current_owner,current_usage,state_type,should_move_to_execution,migration_action,notes
turtle_trader,"_highs/_lows/_prev_close/_atr/_atr_ema",strategy,"Donchian breakout and N calculation",strategy_decision_state,no,retain,"Indicator and market state"
turtle_trader,current_bar,strategy,"warmup and decision timing",strategy_decision_state,no,retain,"Signal timing only"
turtle_trader,position,strategy,"gate flat/long/short branches",execution_state,yes,replace_with_execution_view,"Actual position changes only on confirmed fills"
turtle_trader,units,strategy,"exit quantity and current exposure",execution_state,yes,replace_with_filled_quantity,"Requested units remain signal metadata; actual units are fill-derived"
turtle_trader,current_entries,strategy,"limit pyramid entries",mixed_state,partial,split_desired_and_confirmed_entries,"Strategy owns the entry cap; execution supplies confirmed add-fill count"
turtle_trader,pre_entry_price,strategy,"anchor next 0.5N add and 2N stop",mixed_state,partial,source_anchor_from_confirmed_fill,"Trigger formula remains unchanged"
turtle_trader,pre_breakout_failure,strategy,"last-profitable-trade entry filter",mixed_state,partial,update_from_confirmed_trade_outcome,"Filter remains decision state; realized outcome is execution-derived"
turtle_trader,turtle_units,strategy,"calculate desired risk unit",mixed_state,partial,split_requested_and_filled_size,"N/risk formula remains; usable execution equity and filled size are execution facts"
turtle_trader,TradeAction.fill_price,strategy,"record assumed entry/add/exit price",execution_state,yes,remove_assumed_fill,"Strategy may retain trigger price as metadata but cannot set fill price"
turtle_trader,sent_order_this_bar,strategy,"prevent duplicate decisions in one bar",strategy_decision_state,no,retain,"Per-decision guard"
turtle_trader,hard_stop_anchor,strategy,"calculate last-fill price plus or minus 2N",mixed_state,partial,bind_formula_to_confirmed_fill,"Formula remains strategy-owned; fill anchor and order lifecycle are execution-owned"
turtle_trader,channel_exit_levels,strategy,"produce trailing exit decisions",strategy_decision_state,no,retain,"Market-derived decision level"
escalator_long,"high/low/MA buffers and prior flags",strategy,"entry pattern and breakout levels",strategy_decision_state,no,retain,"Indicator and pattern state"
escalator_long,position,strategy,"gate entry and exit branches",execution_state,yes,replace_with_execution_view,"Do not mutate on signal"
escalator_long,bars_since_entry,strategy,"prevent same-bar exit and age position",mixed_state,partial,start_and_reset_on_fill,"Counter policy remains strategy-owned"
escalator_long,entry_price,strategy,"anchor profit target",mixed_state,partial,source_from_confirmed_entry_fill,"Current value is a theoretical signal-bar price"
escalator_long,long_risk,strategy,"fixed stop level captured at entry signal",strategy_decision_state,no,retain_until_fill_then_activate,"Market-derived risk level; execution owns stop order lifecycle"
escalator_long,profit_target,strategy,"entry fill plus profit-factor risk distance",mixed_state,partial,bind_formula_to_confirmed_fill,"Target formula is unchanged"
escalator_long,assumed_trade_price,strategy,"emit immediate entry/exit price",execution_state,yes,remove_assumed_fill,"Trigger price may be metadata only"
trend_breakout_atr,"close/high/low/ATR/trend buffers",strategy,"trend and breakout decisions",strategy_decision_state,no,retain,"Indicator and market-regime state"
trend_breakout_atr,position,strategy,"gate flat/long/short logic",execution_state,yes,replace_with_execution_view,"Actual position is fill-derived"
trend_breakout_atr,entry_price,strategy,"ATR stop anchor",mixed_state,partial,source_from_confirmed_entry_fill,"Keep ATR rule unchanged"
trend_breakout_atr,best_price,strategy,"favourable excursion trailing exit",mixed_state,partial,initialize_on_fill_and_retain_market_path,"Execution supplies lifecycle boundary; strategy tracks post-fill market path"
trend_breakout_atr,bars_since_entry,strategy,"position age",mixed_state,partial,start_and_reset_on_fill,"Counter policy remains strategy-owned"
trend_breakout_atr,cooldown_remaining,strategy,"delay re-entry after exit",mixed_state,partial,start_on_confirmed_exit_fill,"Cooldown rule remains strategy-owned"
trend_breakout_atr,atr_stop_and_giveback,strategy,"entry/best price plus ATR exit rules",mixed_state,partial,bind_rules_to_execution_anchors,"Signal formulas remain unchanged"
ghost_trader_long,"MA/channel buffers and prior levels",strategy,"virtual and real signal conditions",strategy_decision_state,no,retain,"Indicator and pattern state"
ghost_trader_long,my_position,strategy,"simulate ghost trade used as signal filter",strategy_decision_state,no,retain,"Virtual position is not actual execution state"
ghost_trader_long,"my_entry_price/my_exit_price/my_profit",strategy,"score virtual trade profitability",strategy_decision_state,no,retain,"Explicit strategy simulation; must remain distinct from fills and PnL"
ghost_trader_long,_prev_my_position,strategy,"detect virtual-trade transitions",strategy_decision_state,no,retain,"Pattern transition state"
ghost_trader_long,position,strategy,"represent real long position",execution_state,yes,replace_with_execution_view,"Actual position changes on confirmed fills"
ghost_trader_long,entry_price,strategy,"represent real entry anchor",mixed_state,partial,source_from_confirmed_entry_fill,"Do not replace virtual my_entry_price"
ghost_trader_long,bars_since_entry,strategy,"age real filled position",mixed_state,partial,start_and_reset_on_fill,"Signal cadence remains unchanged"
